No.,Filing Yr,Pub Yr.,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Filing Date,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous,Filing Year,
18,2005,2007,5-Apr-07,US 2007/0074755 A1,"Chris Eberspacher, Phillip Capps, John Holager","Nanosolar, Inc.",Solar Mounting/Rack,"11/243,522",10/3/2005,Photovoltaic module with rigidizing backplane,3-Oct-05,Start-up,Privately owned,,"Palo Alto, CA",CA,USA,Solar cell modules and mounting methods are disclosed. A solar cell module includes one or more photovoltaic (PV) cells arranged in a substantially planar fashion. Each PV cell has a front side and a back side. The PV cells are adapted to produce an electric voltage when light is incident upon the front side. A rigid back plane is attached to the PV cells such that the back plane provides structural support from the back side. The rigid back plane includes a structural component having a plurality of voids.,,Solar PV systems includes methods and devices for mounting solar modules,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070074755%22.PGNR.&OS=DN/20070074755&RS=DN/20070074755,0,6,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2005,
94,2006,2007,10 Oct 03,US 2007-0235071 A1,"Work; Jason N.; (Victoria, CA) ; Wyper; Neil D.; (Okotoks, CA) ; Lightbody; Simon H.; (Victoria, CA)",Assignee information unavailable,complete solar system,"11/278,916 ",136/244,ADAPTIVE SOLAR POWERED SYSTEM ,5 Apr 02,unknown,unknown,,"Victoria, CA",,CA,"An apparatus for powering a load from solar energy comprises a DC/DC converter, battery terminals coupled to an output of the DC/DC converter and coupleable to an energy storage device, and solar panel terminals coupled to an input of the DC/DC converter and coupleable to a solar panel. Logic is coupled to the converter to control its conversion rate. A detector is coupled to the converter and detects its power output. The logic is operable to adjust the conversion rate until the solar panel operates at the smaller of a maximum power point of the solar panel and a power point of the solar panel that results in a maximum desired power.", ,complete system with monitoring component,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=1138&f=G&l=50&d=PG01&s1=((solar.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.))+OR+(photovoltaic.CLM.+AND+(monitor.CLM.+OR+monitoring.CLM.)))&p=23&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),8,,no,,application search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,,,,complete system,,,TRUE,,,,,
10,2005,2006,29-Jun-06,US 2006/0137736 A1,"Jun Nishitani, Shuji Inada, Mitsuru Hirose, Hideyuki Inada",Sharp Kabushiki Kaisha,Solar Mounting/Rack,"11/315,327",12/23/2005,Support system and program for installing photovoltaic power generator,23-Dec-05,Established,,,Osaka,,Japan,A support system for installing a photovoltaic power generator with photovoltaic modules comprising: calculation means for calculating an installation area of the modules on the basis of geographic information.,,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220060137736%22.PGNR.&OS=DN/20060137736&RS=DN/20060137736,0,1,,"[0001] This application is related to Japanese Patent Application No. 2004-380935 filed on Dec. 28, 2004, whose priory is claimed and the disclosure of which is incorporated by reference in its entirety.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2005,
15,2006,2006,20-Jul-06,US 2006/0156648 A1,"Daniel S. Thompson, Monty Mullins, Richard I. Proctor, Zhan Zhang",,Solar Mounting/Rack  ,"11/326,271",1/4/2006,Apparatus for mounting a solar panel or other article to a roof or other structure ,4 Jan 06,,,,"(San Rafeal, CA)",CA,USA,"An apparatus for mounting an article to a roof includes a base plate, threaded stud, lag bolts, spacer, and flashing. The base plate includes bolt holes to accommodate the lag bolts to secure the base plate to the roof. The threaded stud is secured to and extends vertically from the base plate. The spacer is inserted over the stud so that the stud passes through an aperture in the spacer, and is secured by a nut. The spacer acts as a lift for mounting an article up off the roof, thereby permitting drainage. The spacer includes a recess to accommodate the head of a lag bolt. The wrap-around flashing is captured between the base plate and spacer, creating a water free environment underneath the assembled unit. The flashing slides up underneath the roofing shingles to prevent water from penetrating the structure, and includes a lip to accommodate the base plate, and a detent to accommodate the bolt heads beneath it.",devices to secure PV to roof,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220060156648%22.PGNR.&OS=DN/20060156648&RS=DN/20060156648,0,4,,"[0001] The present application claims the benefit of the filing date of U.S. Provisional Patent Application Serial No. 60/641,198, filed 04 Jan. 2005.",Application ,"""Mounting""(Title) and ""solar"" (Title)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2006,
11,2006,2006,12-Oct-06,US 2006/0225780 A1,"Bertrand Leroy Johnson, Kenneth Richard Boswell, Akimasa Umemoto","Sharp Manufacturing Company of America, A Division of Sharp Electronics Corporation",Solar Mounting/Rack,"11/400,022",4/7/2006,Rooftop photovoltaic module,7-Apr-06,Established,Publicly Traded,,"Memphis, TN",TN,USA,A photovoltaic module for installation with roof tiles on a sloping roof. The photovoltaic module includes a photovoltaic panel; a frame surrounding the panel; and attachment structure for allowing the panel and the frame to be attached to a sloping roof in an interlocking and overlapping fashion with roof tiles while allowing adjustment of the location of the panel and the frame along the slope of the sloping roof.,Methods and devices for attaching PV modules to roof tiles. ,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220060225780%22.PGNR.&OS=DN/20060225780&RS=DN/20060225780,0,6,,"[0001] This application is a non-provisional application claiming priority of pending U.S. provisional application 60/669,659, filed Apr. 8, 2005, entitled ""PHOTOVOLTAIC SYSTEM OF INTERLOCKING ROOFTOP MODULES,"" fully incorporated herein by reference.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2006,
16,2006,2006,9-Nov-06,US 2006/0250828 A1,Bill Taylor,,Solar Inverter,"11/400,720",4/7/2006,Inverter power electronics design ,7-Apr-06,,,,"(Bend, OR)",OR,USA,An inverter design with makes use of an integrated power module in place of discrete transistors. The use of an integrated power module facilitates the creation of a field replaceable component consisting of the power module and a circuit board with control and other circuitry.,Inverter uses packaged group of transistors in its circuit board,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=498&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=10&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,"[0001] This application claims priority under 35 U.S.C. .sctn. 119(e) to U.S. Provisional Patent Application No. 60/669,487 which was filed on Apr. 7, 2005, incorporated Herein by reference. Co-pending patent application Ser. No. 11/187,059 is also incorporated herein by reference.",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2006,
17,2006,2006,9-Nov-06,US 2006/0250783 A1,"Bill William F. Taylor, Brian Hoffman",,Solar Inverter,"11/400,786",4/7/2006,Inverter operation modes,7-Apr-06,,,,"(Bend, OR)",OR,USA,"Disclosed herein is a grid interactive inverter capable of multiple modes of operation including: a normal mode for transferring DC power to a utility grid, a constant AC current mode for limiting inverter output, a constant DC voltage mode used for DC testing, and a PV array simulation mode for testing of other inverters in the manufacturing process.",interactive inverter,,http://appft1.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.html&r=499&f=G&l=50&d=PG01&s1=inverter.CLM.&s2=photovoltaic.CLM.&co1=AND&p=10&OS=ACLM/inverter+AND+ACLM/photovoltaic&RS=ACLM/inverter+AND+ACLM/photovoltaic,0,,,"[0001] This application claims priority under 35 U.S.C. .sctn. 119(e) to U.S. Provisional Patent Application No. 60/669,487 which was filed on Apr. 7, 2005. Co-pending patent application Ser. No. 11/187,059 is also incorporated herein by reference.  ",Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2006,
26,2006,2008,21-Feb-08,US 2008/0041434 A1,"Paul Adriani, Martin Roscheisen","Nanosolar, Inc.",Solar Mounting/Rack (Electrical connection),"11/465,787",8/18/2006,METHODS AND DEVICES FOR LARGE-SCALE SOLAR INSTALLATIONS,18-Aug-06,Start-up,Privately owned,Electronics and PV  inverter and connections maker,"Palo Alto, Ca",CA,USA,"Methods and devices are provided for improved large-scale solar installations. In one embodiment, a junction-box free photovoltaic module is used comprising of a plurality of photovoltaic cells and a module support layer providing a mounting surface for the cells. The module has a first electrical lead extending outward from one of the photovoltaic cells, the lead coupled to an adjacent module without passing the lead through a junction box. The module may have a second electrical lead extending outward from one of the photovoltaic cells, the lead coupled to another adjacent module without passing the lead through a junction box. Without junction boxes, the module may use connectors along the edges of the modules which can substantially reduce the amount of wire or connector ribbon used for such connections.",,Thin-film PV method includes assembly with no main junction box  ,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220080041434%22.PGNR.&OS=DN/20080041434&RS=DN/20080041434,,,,,Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,,TRUE,http://www.nanosolar.com/,,FALSE,TRUE,FALSE,,,,2006,
21,2006,2007,19-Apr-07,US 2007/0084500 A1,Chi Gon Chen,,Solar Mounting/Rack,"11/515,094",8/31/2006,Double-jointed mounting for solar panel,31-Aug-06,,,Thin-film Solar PV maker,(Guang Zhou),,China,The device disclosed herein is a double jointed mounting for a solar panel which enables the solar panel to move so that its orientation with the sun is optimal for the collection of sunlight for the subsequent conversion to electrical energy. The double jointed mounting consists of a mount housing which contains two ball and socket joints located at either end of the mount housing. The solar panel can rotate independently about either ball and socket joint to maintain the optimal position for the collection of solar energy.,mounting system that enables solar tracking,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070084500%22.PGNR.&OS=DN/20070084500&RS=DN/20070084500,0,0,,"[0001] This application makes reference to and seeks the benefit of provisional application No. 60/713,531 filed on Sep. 1, 2005.",Application ,"""Mounting""(Title) and ""solar"" (Title)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2006,
19,2006,2007,23-Aug-07,US 2007/0193618 A1,"Peter Bressler, Abby Nessa Feinstein, Seth Galewyrick, Martin Low, Paul K. Rossi","SOLAR ROOFING SYSTEMS, INC.",Solar Mounting/Rack,"11/533,094",9/19/2006,Integrated Solar Roofing System,19-Sep-06,,,unknown,"Philadelphia, PA",PA,USA,An integrated solar roofing system for installation on a roof surface and for converting solar energy into electrical energy. The system comprises a first row of photovoltaic (PV) roofing tiles having a plurality of electrically interconnected PV cells. The roofing tiles comprise a first tab that extends from the tile base and has at least one mounting hole. The first tab exposes a first electrically conductive material on the first side of the first tab. The roofing tiles further comprise a second tab located on the second side of the tile base and having at least one mounting hole extending through the second tab and tile base. The second tab exposes a second electrically conductive material on the second side of the tile base. The first tab of each roofing tile in the first row is at least partially superposed over the second tab of an adjacent roofing tile aligning the mounting holes so that the roofing tiles are in electrical series communication along the first row. The system further comprises a second row of PV roofing tiles partially overlapping the first row such that the first and second tabs of the first row are concealed.,Roof system that contains integrated solar PV cells,,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070193618%22.PGNR.&OS=DN/20070193618&RS=DN/20070193618,0,2,,"[0001] This application claims the benefit of U.S. Provisional Patent Application No. 60/718,383 filed Sep. 19, 2005 entitled ""Integrated Solar Roofing System"" and U.S. Provisional Patent Application No. 60/817,282 filed Jun. 28, 2006 entitled ""Integrated Solar Roofing System"" both of which are incorporated by reference herein their entirety.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2006,
20,2006,2007,10-May-07,US 2007/0102038 A1,Christian Kirschning,,Solar Mounting/Rack (Electrical connection),"11/558,659",11/10/2006,Holding Element For Photovoltaic Modules,10-Nov-06,,,,(Dusseldorf),,Germany,"The present invention relates to a method for establishing a sensor network having multiple sensor nodes, sensor nodes being able to connect to one another to transmit sensor data to a central receiving node, and information, in particular time information, being in stored in every sensor node from other neighboring sensor nodes lying in the reception area of a sensor node, on the basis of which a sensor node determines when to connect to another sensor node, initial information in the sensor node (S2) being formed by information from a mobile installation device (MGW), which is transmitted into a new sensor node (S2) during the installation thereof, the information particularly being provided in the form of a table.",,Series fo electrinic sensors that can electrically connect solar panels,http://appft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PG01&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.html&r=1&f=G&l=50&s1=%2220070102038%22.PGNR.&OS=DN/20070102038&RS=DN/20070102038,0,3,,"[0001] This disclosure claims priority to German Patent Application No. 10 2005 054 315.4 filed on Nov. 11, 2005, and European Patent Application No. 06014826.9 filed on Jul. 17, 2006, both of which are hereby incorporated by reference.",Application ,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,,TRUE,,,FALSE,TRUE,TRUE,,,,2006,
42,2006,2008,15-May-08,US 2008/0111517 A1,"John E. Pfeifer, Fabio A.M. Pereira, Herbert E. Flynn",,Solar Inverter,"11/560,186",11/15/2006,Charge Controller for DC-DC Power Conversion,15-Nov-06,,,,"(Redding, CT)",CT,USA,A charge controller that includes an input interface that receives input DC electrical signals. A converter section converts the input DC electrical signals to output DC electrical signals. Control means is operably coupled to the converter section. The control means includes means for operating the converter section at an estimated maximum power point of the input DC electrical signals. The estimated maximum power point is derived by a novel control scheme that quickly adapts to changing conditions and thus affords optimum energy harvest from the source and improved energy conversion efficiencies.,,Inverter is integrated with charge controller to manage voltage output from PV to other devices or in AC conversion,,12 (on application),,,,Application Search, Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,,,,TRUE,FALSE,FALSE,,,,2006,
