No. ,Year,Patent Issue Date,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",Firm's Services,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,Solar Finance/ Business Model,Miscellaneous
11,2006,21-Feb-06,15-Sep-05,US 2005/0198963 A1,"Rong-Jong Wai, Rou-Yong Duan",Yuan Ze University,Solar Monitoring; Solar Inverter,7000395,Hybrid clean-energy power-supply framework ,11-Mar-04,Established ,Educational ,Research ,"Jhongli, TW",,Taiwan,"A hybrid clean-energy power-supply framework integrates a fuel cell, solar cell, and wind energy, applies a max power tracking rule, raises the output power of a solar cell and wind energy to supply a power load and transfer the surplus electrical energy to a water-electrolyzing apparatus for producing hydrogen and oxygen, and provides a fuel for a fuel cell power generating system. Furthermore, the present invention utilizes features of each clean-energy power generating system, depends on the powerful calculation capacity of a central processing unit to monitor and dispatch each power generation and supply system, and thus ensures the reliability of supply power and reduces the power generation cost. Such a framework can selectively grid-connect with the utility power or run as a stand-alone power supply system and has a mechanism for preventing the island effect.",,Inverter is part of a broader clean energy generation system,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7000395.PN.&OS=PN/7000395&RS=PN/7000395,14,8,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,Schneider Electric,"Subsidiary of global firm Schnieder Electric, HQ in Canada",TRUE,FALSE,TRUE,,,
12,2007,14-Aug-07,30-Dec-04,US 2004/0264225 A1,"Vijay Bhavaraju, Kerry E. Grand, Anil Tuladhar",Ballard Power Systems Corporation,Solar Inverter,7256566,Method and apparatus for determining a maximum power point of photovoltaic cells,30-Apr-04,Established ,Publicly Traded,Fuel-cell and back up power manufacturer,"Dearborn, MI",MI,USA,"The maximum power point (MPP) of a photovoltaic array that can be coupled to power inverter is determined. A capacitor on a DC-bus side of the inverter is used as a load from which I-V characteristics of the photovoltaic array can be generated. The photovoltaic array is connected to the capacitor, which has been previously discharged by a bleed down resistor. Short circuit current, open circuit voltage, and values of current and voltage as the capacitor charges are determined and used to generate I-V characteristics of the photovoltaic array. From the I-V characteristics, the MPP can be calculated.",,Inverter is part of the method for maximizing energy production,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=132&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,20,5,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,TRUE,FALSE,FALSE,,,
13,2007,2-Jan-07,6-Jan-05,US 2005/0002214 A1,"Duo Deng, Anil Tuladhar, Kenneth J. Farkas, Kerry E. Grand",Ballard Power Systems Corporation,Solar Inverter,7158395,"Method and apparatus for tracking maximum power point for inverters, for example, in photovoltaic applications ",30-Apr-04,Established ,Publicly Traded,Fuel-cell and back up power manufacturer,"Dearborn, MI",MI,USA," A power system employs an outer voltage feedback loop and an inner current feedback loop to control a power converter, such as a DC to AC inverter for transferring electrical power between a power source, for example a photovoltaic array, and a load, for example a power grid. The outer loop accommodates variations in the output of the power source, for example accommodating anomalies in IV characteristics such as IV droop characteristic associated with photovoltaic cells. The outer loop may employ a first control regime or a second control regime, for example, dependent on whether a DC bus voltage or power is smaller than a value corresponding to measurement resolution or expected noise. ",Inverter power efficiency,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=135&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,30,13,,,Patent Search,"""Inverter"" (claims) ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
14,2007,9-Jan-07,25-Mar-04,US 2004/0056768 A1,"Masaaki Matsushita, Akiharu Takabayashi, Masahiro Mori, Ayako Shiomi, Chinchou Lim, Takaaki Mukai",Canon Kabushiki Kaisha,Solar Inverter; Solar Monitoring,7161082,Photovoltaic power generation systems and methods of controlling photovoltaic power generation systems,15-Sep-03,Established ,Publicly Traded,Electronics and optical Technology,"Tokyo, Japan",,Japan,"There are provided a restricted area including an area in which solar cell modules are installed, a preventer for preventing intrusion of an intruder into the restricted area, and a detector capable of detecting the intrusion of the intruder into the restricted area, and a predetermined electric shock preventer is activated by a signal outputted from the detector upon detection of the intruder to prevent the intruder from receiving an electric shock.",,System to stop intrusion or interference with PV system,http://www.google.com/patents?id=RKV-AAAAEBAJ&zoom=4&dq=%22solar%20inverter%22&pg=PA1#v=onepage&q=%22solar%20inverter%22&f=false,2,3,,,Patent Search,Solar Inverter,Utility,,,,TRUE,,,,TRUE,FALSE,TRUE,,,
15,2007,2-Jan-07,6-Oct-05,US 2005/0217665 A1,Gregg Frederick Luconi,"Energy Innovations, Inc.",Solar Mounting/Rack  ,7156088,Solar collector mounting array,2-Jun-05,Start-up,Privately owned,PV systems maker,"Pasadena, CA",CA,USA,"A solar collector structural support system that affixes to a mounting surface without penetrating the mounting surface is disclosed. The invention in the preferred embodiment includes a junction element adapted to receive: a plurality of leg members; at least one footing adapted to engage frictionally a mounting surface; and a structural support member; wherein a first junction element of the plurality of junction elements receives: a proximal end of a first leg member and a first structural support member. In addition, the junction element may be adapted to receive a ballast element and the ballast element may be adapted to engage a leg member.",PV mounting system where the PV cells can stand up ,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=29&f=G&l=50&co1=AND&d=PTXT&s1=mounting.TI.&s2=solar.TI.&OS=TTL/mounting+AND+TTL/solar&RS=TTL/mounting+AND+TTL/solar,14,4,,"This application claims the benefit of U.S. Provisional Patent Application Ser. No. 60/576,770 filed Jun. 2, 2004, entitled ""ROOFTOP CONCENTRATOR,"" which is hereby incorporated herein for all purposes and this application is a continuation-in-part of Non-provisional patent application Ser. No. 11/042,031 filed Jan. 24, 2005 entitled ""SELF-BALASTING SOLAR COLLECTOR"" which claims the benefit of U.S. Provisional Patent Application Ser. No. 60/612,592 filed Sep. 22, 2004, entitled ""APPARATUS FOR REDIRECTING PARALLEL RAYS USING SIMPLE RIGID TRANSLATION,"" of U.S. Non-provisional patent application Ser. No. 11/058,023 filed Feb. 14, 2005, entitled ""APPARATUS FOR REDIRECTING PARALLEL RAYS USING RIGID TRANSLATION,"" and of U.S. Provisional Patent Application Ser. No. 60/557,738 filed Mar. 30, 2004, entitled NON-PENETRATING ROOF-MOUNTED TRACKING SOLAR COLLECTOR,"" both of which are hereby incorporated by reference herein for all purposes.",Patent Search,"""Mounting"" (title) and ""Solar"" (Title)",Utility,,,Yes,TRUE,,http://www.idealab.com/our_companies/show/all/energy_innovations,Company was sold off at a loss,FALSE,TRUE,FALSE,,,
16,2007,11-Dec-07,10-Aug-06,US 2006/0174931 A1,"Donald R. Mapes, David J. Aitchison, Larry G. Crosser, James B. Foote, Benjamin L. Richie, Jr.","First Solar, Inc.",Solar Mounting/Rack  ,7307209,Photovoltaic array ,9-Sep-03,Established ,Publicly Traded,PV systems maker,"Perrysburg, OH",OH,USA,"A photovoltaic array includes a plurality of elongated rails and rectangular photovoltaic modules. Each rail can have an extruded resin construction and can include a lower base and an upper cap that cooperate to define a pair of grooves that open in opposite directions from each other. The elongated rails can be mounted on a support surface and extend in a spaced and parallel relationship with each other. During mounting, edges of the photovoltaic modules can be received by the grooves. In this way, the photovoltaic modules can be mounted above the support surface in a spaced relationship from the support surface.",System of rails for mounting PV arrays,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=109&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,7,11,,"This application is a continuation of U.S. Application No. PCT/US02/36743, filed Nov. 15, 2002, which claims priority to U.S. Application No. 60/380,862, filed May 17, 2002, and is a continuation-in-part of U.S. application Ser. No. 09/993,875, filed Nov. 16, 2001, now U.S. Pat. No. 6,617,507, each of which is incorporated by reference in its entirety.",Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,
17,2007,25-Sep-07,7-Dec-06,US 2006/0276938 A1,Craig Howard Miller,Gridpoint Inc. ,Solar Inverter; Solar Monitoring,7274975,Optimized energy management system,6-Jun-05,Start-up,Privately owned,Solar installation and monitoring,"Washington, DC",DC,USA,"Methods and systems are provided for optimizing the control of energy supply and demand. An energy control unit includes one or more algorithms for scheduling the control of energy consumption devices on the basis of variables relating to forecast energy supply and demand. Devices for which energy consumption can be scheduled or deferred are activated during periods of cheapest energy usage. Battery storage and alternative energy sources (e.g., photovoltaic cells) are activated to sell energy to the power grid during periods that are determined to correspond to favorable cost conditions.",,Device that can manage energy supply from PV or other sources and demand form appliances and other systems. ,http://www.google.com/patents?id=J22EAAAAEBAJ&zoom=4&dq=%22solar%20inverter%22&pg=PA1#v=onepage&q=%22solar%20inverter%22&f=false,39,22,,,Patent Search,"""Solar Inverter""",Utility,,,,,TRUE,,,TRUE,FALSE,TRUE,,,
18,2007,5-Jun-07,28-Jul-05,US 2005/0162018 A1,"Richard A. Realmuto, Benjamin Hartman",Nextek Power Systems Inc,Solar Inverter,7227278,Multiple bi-directional input/output power control system ,21-Jan-04,Start-up,Privately owned,DC power systems supplier,"Hauppauge, NY",NY,USA,"A multiple bi-directional input/output power control system includes a network of functional blocks housed in a single enclosure, providing DC power to one or more DC loads, and providing control and internal pathways, sharing one or more AC and/or DC power inputs. The system feeds back AC power from the DC power source into an AC input connection, and the fed-back AC power is shared by other AC loads. The system operates at least one alternative source of DC in a dynamic manner, allowing maximization of power generating capability at respective specific operating conditions of the moment.",Inverter that converts DC for DC power uses before converting to AC  ,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=133&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/inverter+AND+ACLM/,12,17,,Continuation Application: related to patents: 7872375; ,Patent Search,"""Inverter"" (claims) ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,
19,2007,2-Jan-07,5-Jan-06,US 2006/0000178 A1,Charles Almy,Powerlight Corp,Solar Mounting/Rack ,7155870,Shingle assembly with support bracket," Jun 18, 2004",,,,"Berkeley, CA",CA,USA,"A shingle system, mountable to a support surface, includes overlapping shingle assemblies. Each shingle assembly comprises a support bracket, having upper and lower ends, secured to a shingle body. The upper end has an upper support portion, extending away from the shingle body, and an upper support-surface-engaging part, engageable with a support surface so that the upper edge of the shingle body is positionable at a first distance from the support surface to create a first gap therebetween. The lower end has a lower support portion extending away from the lower surface. The support brackets create: (1) a second gap between shingle bodies of the first and second shingle assemblies, and (2) an open region beneath the first shingle assembly fluidly coupling the first and second gaps.",mounting system for roof shingles integrated with PV cells,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=116&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,22,1,,This invention was made with State of California support under California Energy Commission contract number 500-00-034. The Energy Commission has certain rights to this invention.,Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,
20,2007,20-Nov-07,15-Sep-05,US 2005/0199278 A1,Peter Aschenbrenner,Sunpower Corporation,Solar Mounting/Rack  ,7297866,Ventilated photovoltaic module frame,15-Mar-04,Established ,Publicly Traded,Solar Cell Producer ,"San Jose, CA",CA,USA,"In one embodiment, a photovoltaic frame assembly comprises a photovoltaic module and a frame having a plurality of air vents. The air vents allow air to flow into the frame and thereby cool the photovoltaic module. The frame may be installed in-line with another such frame to allow air flow between frames. The air vents may be located within a perimeter of the frame to allow for structural integrity while remaining aesthetically pleasing. The frame may include an inner lip, an outer lip, or both to provide different mounting options to accommodate different sites. The frame may comprise a plurality of frame members, such as extrusions including the air vents.",PV frames contain air vents to induce better circulation,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=110&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=3&OS=ACLM/mounting+AND+ACLM/,7,6,,,Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,
21,2007,28-Aug-07,23-Jan-06,US 2003/0015637 A1,John E. Liebendorfer,"UniRac, Inc.",Solar Mounting/Rack  ,7260918,Apparatus and method for positioning a module on an object,4-Apr-02,Established ,Privately owned,Solar mounting and rack manufacturer,"Albuquerque, NM",NM,USA,"A system for removably and adjustably mounting a device on an object is provided. The system for removably and adjustably mounting a device on an object, according to the present invention, includes an apparatus and method useful for removably and adjustably mounting one or more photovoltaic modules on an object such as a pole or roof, and includes one or more triple track rails. Also included are one or more connector brackets that are demountably attachable to the one or more triple track rails and to the object.",method for adjusting and removing solar panels from a rail-system on roofs,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2Fsearch-adv.htm&r=0&f=S&l=50&d=PALL&Query=ref/7260918,13,0,,"Applicant claims priority to this continuation-in-part nonprovisional patent application based on the copending provisional United States patent application filed by the same applicant and sole inventor named in this application filed in the United States Patent and Trademark Office on Jul. 20, 2001, application Ser. No. 09/910,655.",Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,
