No. ,Year,Patent Issue Date,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Classification Numbers,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",Firm's Services,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations Granted Patent (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,SUBGROUP Inverter-Monitoring,Miscellaneous,Filing Year,Filing Date
156,2012,3-Jul-12,28-May-09,US 2009/0134297 A1,BERNHARD BECK,Blitzstrom GmbH,Solar Mounting/Rack,8209919,521/733; 52108; 525/060.5; 52551; 248/237; 248/316.8; 136/244; 126/623; 126/624; 428/167; 428/906,Mounting support for photovoltaic modules ,3-Nov-08,Established ,Privately owned,Integrated PV systems and solutions,Kolitzheim,,USA,A mounting support for mounting photovoltaic modules constructed with at least one glass pane on a flat roof surface includes a flexible elongated strip having a bottom side with a substantially smooth surface for attachment to the roof surface and a top side with a substantially smooth surface for supporting the photovoltaic modules. The top side of the strip includes recesses oriented perpendicular to the longitudinal direction of the strip and separating strip segments which allows the mounting support or strip to be easily rolled up. The strip segments include integrally formed fastening members configured to engage with cooperating fasteners for securing the photovoltaic modules on top side of the strip. The top surface may also include longitudinal grooves or tubes holding the fastening members.,Flat roof Mounting for plurality of PVs,,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/8209919,0,2,,"This application claims the priority of German Patent Application, Serial No. 10 2007 056 619.2, filed Nov. 23, 2007, pursuant to 35 U.S.C. 119(a)-(d), the content of which is incorporated herein by reference in its entirety as if fully set forth herein.",Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,http://www.belectric.com/en/trading/,Branded as belectric; ,FALSE,TRUE,FALSE,,,,2008,03/11/2008
153,2012,3-Jul-12,24-Jun-10,US 2010/0156189 A1,Oleg S. Fishman,"Alencon Acquisition Co., LLC",Solar Inverter,8212408,307/77; 307/43; 307/82; 307/83; 307/84,"Collection of electric power from renewable energy sources via high voltage, direct current systems with conversion and supply to an alternating current transmission network ",18-Aug-09,Start-up,Privately owned,PV Power Conversion for grid;  ,"Plymouth Meeting, PA",PA,USA,Wind-generated electric power is collected in a multiple nodal arrangement where the DC output current of each node can be held constant while the DC output node voltage is allowed to vary. The DC outputs from the wind-generated power collection nodes are connected together in series and fed to a plurality of regulated current source inverters via a high voltage DC transmission link. Each inverter converts input DC power into a three phase AC output. The AC outputs of the regulated current source inverters are connected to a phase shifting transformation network that supplies three phase electric power to a conventional AC electrical transmission system. Alternatively wind-generated and photovoltaic-generated electric power is commonly collected in a nodal arrangement and transported at high voltage DC to a plurality of regulated current source inverters for supply to the conventional AC electrical transmission system.,,System that allows maximum collection of renewable energy without having to co-locate generation systems in same area. ,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/8212408,0,1,,"This application is a continuation-in-part of U.S. application Ser. No. 12/434,641 filed May 2, 2009, which claims the benefit of U.S. Provisional Application No. 61/140,839, filed Dec. 24, 2008, both of which applications are hereby incorporated by reference in their entirety.",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,,TRUE,,,TRUE,FALSE,FALSE,,,,2009,18/08/2009
181,2012,3 Jul 12,24-Sep-09,US 2009/0236917 A1,"Gerd Bettenwort, Ralf Juchem, Matthias Victor, Tobias Müller",SMA Solar Technology AG,Solar Inverter,8212409,307/82,Method for activating a multi-string inverter for photovoltaic plants,9 Feb 09,Established ,Publicly Traded,Inverter manufacturer,Niestetal,,Germany,"A method of activating a Multi-String inverter for photovoltaic generators (1a, 1b) of a photovoltaic plant (6), the Multi-String inverter incorporating on the input side a separate DC-DC converter (2a, 2b) for each generator string (photovoltaic generator) (1a, 1b) and each output of the DC-DC converters (2a, 2b) being connected in parallel and to an input of a DC-AC converter (3) and the DC-AC converter (3) being connected with an alternating current mains (4) for feeding into the mains aims at improving efficiency. This is achieved in that one or several electrical variables, namely input current, input voltage and/or input power are measured at each DC-DC converter (2a, 2b) and at least one of the DC-DC converters (2a, 2b) changing its operating condition as a function of this measurement when a limit value and/or a range is exceeded in such a manner that its power loss is reduced so that the energy yield of the photovoltaic plant (6) is increased.",Inverter that are tied to multiple arrays for solar plants,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=8212409.PN.&OS=PN/8212409&RS=PN/8212409,0,5,,[0001] This application claims Priority from European Application No. DE 08005427.3 filed on 22 Mar. 2008,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://www.sma.de/en/company/about-sma.html,,TRUE,FALSE,FALSE,,,,2009,09/02/2009
180,2012,3-Jul-12,16-Apr-09,US 2009/0097172 A1,"Sven Bremicker, Stefan Buchhold, Frank Greizer, Gunther Cramer",SMA Solar Technology AG,Solar Inverter ,8213133,361/8; 218/2; 218/3,Load breaker arrangement,30-Sep-08,Established ,Publicly Traded,Inverter manufacturer,Niestetal,,Germany,"The subject matter of the present invention is a load breaker arrangement (1) for switching on and off a DC current of a DC current circuit in a photovoltaic plant with a semiconductor switching element (4) to avoid a switching arc, there being provided an electronic control unit (5) configured such that one or more signals are received by the control unit, and the load breaker arrangement (1) being configured such that in at least one current-carrying line of the DC current circuit there is galvanic separation by a switching contact that is automatically controllable by the control unit (5) in the switched-off condition and one or more control signals being transmitted to the load breaker arrangement (1) and a semiconductor switching element (4) interrupting the DC current so that the switching contact is de-energized, whereby the signals are flaw signals that are received in case of a flaw in the PV generator, inverter or on the AC side, the DC current circuit being automatically switched on or off by the control signals in case of at least one flaw, said arrangement being configured such that, during switch off, said semiconductor switching element (4) is at first closed in a first step, the switching contacts (K1, K2) of a first switching means are opened in a second step for the DC current to flow through said semiconductor switching element (4), said semiconductor switching element (4) being again opened in a third step and switching contacts (K1, K2) of a second switching means being opened in order to cause galvanic separation to occur and that an additional manually operable load breaker (8) is connected, said manually operable load breaker (8) being a manually breakable DC current connecting system with plug contacts for photovoltaic plants that is provided with an electronic arc quenching system.",,Inverter included control unit to create a lead breaker for solar plants,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=8213133.PN.&OS=PN/8213133&RS=PN/8213133,0,1,,"[0001] This application claims Priority from European Application No. EP 07019985.6 filed on Oct. 12, 2007",Application Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://www.sma.de/en/company/about-sma.html,,TRUE,FALSE,FALSE,,,,2008,30/09/2008
152,2012,3-Jul-12,10-Dec-09,US 2009/0302686 A1,Oleg S. Fishman,"Alencon Acquisition Co., LLC",Solar Inverter ,8213199,363/71; 307/82,Multiphase grid synchronized regulated current source inverter systems ,18-Aug-09,Start-up,Privately owned,PV Power Conversion for grid;  ,"Plymouth Meeting, PA",PA,USA,"Power from the dc outputs of wind-generated power collection nodes is converted to ac power of suitable quality for injection into an electric power grid. Conversion is accomplished by current regulation of the dc outputs of the wind-generated power collection nodes to the input of each one of multiple inverters in a system, with each inverter outputting multiple phase currents that are out of phase with the multiple phase currents outputted from all other inverters in the system. The multiple phase currents from all of the inverters in a system are connected to the secondary windings of a phase transformation network that produces a three phase current output having a step-shaped waveform for injection into the electric power grid. Alternatively the dc input to each one of the multiple inverters may be a combination of the dc outputs of wind-generated power collection nodes and the dc outputs of solar photovoltaic power collection nodes.",Multiple inverters manage DC to AC conversion,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=8213199.PN.&OS=PN/8213199&RS=PN/8213199,0,0,,Continuation from Patent: 8130518,Patent search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2009,18/08/2009
179,2012,10-Jul-12,5-Jan-12,US 2012/0002450 A1,Burkard Mueller,SMA Solar Technologies AG,Solar Inverter ,8218344,363/71,Bidirectional inverter for conversion between a direct current source and an alternating current grid ,15-Sep-11,Established ,Publicly Traded,Utility Solar Energy Services,Niestetal,,Germany,"A bidirectional inverter is disclosed, the inverter including DC terminals and being connectable to a grid via grid AC terminals. The inverter includes a first sub inverter and a second sub inverter, both sub inverters being connected in parallel to the DC terminals, and being connected in parallel to the grid AC terminals by sub inverter AC terminals. Each sub inverter includes a full bridge and a switchable freewheel path, both being configured to drive current between the grid AC terminals in a driving direction, and configured to block a current between the grid AC terminals in a blocking direction opposite the driving direction. The driving direction of the first sub inverter is the blocking direction of the second sub inverter.",Inverter innovation,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=8218344.PN.&OS=PN/8218344&RS=PN/8218344,0,0,,"This application is a continuation of International Application No. PCT/EP2010/054115, filed Mar. 29, 2010, which claims priority to European Patent Application No. 09004544.4, filed Mar. 30, 2009, and European Patent Application No. 09010097.5, filed Aug. 5, 2009.",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://www.sma.de/en/company/about-sma.html,,TRUE,FALSE,FALSE,,,,2011,15/09/2011
19,2012,9 Jul 08,08-Dec-06,US 2010-0312412 A1,Haugh; Julianne F.,International Business Machines Corporation, Solar Monitoring,8219259,700/295 ; 700/286; 700/291; 700/297; 702/61; 702/62; 702/63,Maintaining uniform power consumption from an electric utility by a local load in a power distribution system ,02/06/2005,established,Publicly Traded,Technology services,"Armonk, NY",NY,USA,"Maintaining uniform power consumption from an electric utility by a local load in a power distribution that includes a distributed renewable generation (`DRG`) system that is capable of providing power to the utility and batteries for storage, where maintaining uniform power consumption is carried out iteratively and includes monitoring present power consumption of the local load from the electric utility; determining whether the present power consumption is greater than a predefined target power consumption by the local load; if the present power consumption is not greater, storing locally generated power in the batteries; if the present power consumption is greater: calculating in dependence upon present local power generation by the DRG system, the predefined target power consumption, and the present power consumption of the local load, an amount of locally generated power to provide to the electric utility; and providing the amount of locally generated power to the electric utility.", ,grid integration with monitoring,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=37&p=1&f=G&l=50&d=PTXT&S1=(((solar.CLTX.+or+solar.DCTX.)+AND+((monitor.CLTX.+or+monitor.DCTX.)+OR+(monitoring.CLTX.+or+monitoring.DCTX.)))+OR+((photovoltaic.CLTX.+or+photovoltaic.DCTX.)+AND+((monitor.CLTX.+or+monitor.DCTX.)+OR+(monitoring.CLTX.+or+monitoring.DCTX.))))&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),0,41,no,,patent search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,monitoring and grid integration,,,TRUE,,,,,02/06/2005
194,2012,17-Jul-12,31-Dec-09,US 2009/0320907 A1,"Jonathan Botkin, Simon Graves, Carl J.S. Lenox, Matthew Culligan, Matt Danning",SunPower Corporation,Solar Mounting/Rack,8220210,521/733; 136/251; 136/244; 126/623,Photovoltaic module and module arrays,26-Jun-09,Established ,Publicly Traded,,"San Jose, CA",CA,USA,"A photovoltaic (PV) module including a PV device and a frame. The PV device has a PV laminate defining a perimeter and a major plane. The frame is assembled to and encases the laminate perimeter, and includes leading, trailing, and side frame members, and an arm that forms a support face opposite the laminate. The support face is adapted for placement against a horizontal installation surface, to support and orient the laminate in a non-parallel or tilted arrangement. Upon final assembly, the laminate and the frame combine to define a unitary structure. The frame can orient the laminate at an angle in the range of 3°-7° from horizontal, and can be entirely formed of a polymeric material. Optionally, the arm incorporates integral feature(s) that facilitate interconnection with corresponding features of a second, identically formed PV module.","Mounting system for PV is ""non-penetrating"" into roof",,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=5&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=1&OS=ACLM/mounting+AND+ACLM/ph,0,,,"This application claims priority under 35 U.S.C. .sctn.119(e)(1) to U.S. Provisional Patent Application Ser. No. 61/076,492, filed Jun. 27, 2008, entitled ""Photovoltaic Module and Module Arrays"", and the entire teachings of which are incorporated herein by reference.",Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2009,26/06/2009
161,2012,17-Jul-12,21-Apr-11,US 2011/0089766 A1,Martin Fornage,"Enphase Energy, Inc.",Solar Inverter,8222767,307/82,Apparatus for phase rotation for a three-phase AC circuit ,16-Dec-10,Established ,Publicly Traded,Inverter manufacturer,"Petaluma, CA",CA,USA,"An apparatus for power conversion. In one embodiment, the apparatus comprises a plurality of AC power sources, wherein each AC power source in the plurality of AC power sources has a phase rotation circuit coupled to a DC/AC inverter for converting DC input power to AC output power, wherein (i) a first phase rotation circuit has first three phase output terminals coupled to second three phase input terminals of a second phase rotation circuit; (ii) the second phase rotation circuit has second three phase output terminals coupled to third three phase input terminals of a third phase rotation circuit; and (iii) the third phase rotation circuit has third three phase output terminals coupled to either fourth three phase input terminals of a fourth phase rotation circuit or to a commercial power grid.",Three-phase inverter for grid-tie solar production,,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/8222767,1,0,,,Patent Search,Inverter (claims) Photovoltaic (claims),all patents ,,,Yes,TRUE,,http://enphase.com/,,TRUE,FALSE,FALSE,,,,2010,16/12/2010
200,2012,24-Jul-12,29-Jul-10,US 2010/0187391 A1,Charles Olen Nehls,Unistrut International Corporation,Solar Mounting/Rack  ,8226061, 248/300; 52715; 52702,Mounting bracket for solar panel applications,23-Dec-09,Established ,Publicly Traded,Power electronics,"Wayne, MI",MI,USA,"A bracket is disclosed for attaching solar panels to roof structures. The bracket may comprise first, second and third planar portions, the first and third portions generally parallel to each other, and the second planar portion disposed at an oblique angle with respect to first and third portions. The first portion may have a plurality of elongated stiffening members disposed at oblique angles with respect to a longitudinal axis of the bracket. Gussets may be provided across the transition between the first and second portions, and the transition between the second and third portions. The gussets and stiffening members are shaped, sized and oriented to enhance the strength of the bracket. The bracket may have a drain hole to allow water to pass through the bracket, and a plurality of fastener holes are provided to enable the bracket to attach to a variety of different solar panels and roof structures.",A bracket for Solar mounting,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=2&f=G&l=50&d=PTXT&s1=mounting.TI.&s2=solar.TI.&co1=AND&p=1&OS=TTL/mounting+AND+TTL/solar&RS=TTL/mounting+AND+TTL/solar,0,,,"This is a continuation of co-pending U.S. non-provisional patent application Ser. No. 12/361,920, filed Jan. 29, 2009 by Charles Olen Nehls, the entirety of which application is incorporated by reference herein.",Patent Search,"""Mounting"" (title) and ""Solar"" (Title)",Utility,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2009,23/12/2009
171,2012,24-Jul-12,28-Jan-10,US 2010/0019577 A1,Paul Regis Barlock; Matthew Kennerth Donnelly,"NNW Ventures, LLC",Solar Inverter; Solar Monitoring,8227937,307/66,"Uninterruptible power supplies, solar power kits for uninterruptible power supplies and related methods ",26-Jun-09,Unknown,Privately owned,PV controller and inverter manufacturer,"Blaine, WA",WA,USA,"Uninterruptible power supplies, solar power kits for uninterruptible power supplies and related methods are described. According to one aspect, an uninterruptible power supply includes a power bus, mains circuitry configured to rectify electrical energy received from a mains supply system into rectified electrical energy and to provide the rectified electrical energy to a power bus of the uninterruptible power supply, photovoltaic circuitry configured to convert solar energy into converted electrical energy and to provide the converted electrical energy to the power bus, a battery system configured to receive electrical energy from the power bus to charge a battery of the battery system and to discharge electrical energy to the power bus, an inverter configured to provide electrical energy from the power bus to the load, and a controller configured to monitor the photovoltaic circuitry and to implement at least one operation of the uninterruptible power supply using the monitoring.",,Method and devices to manage power supply in PV cells; includes the use of Energy storage,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=2&f=G&l=50&co1=AND&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&OS=ACLM/inverter+AND+ACLM/,0,1,,"[0001] The present application claims priority to U.S. Provisional Patent Application Ser. No. 61/133,702 filed on Jul. 2, 2008, entitled ""Uninterruptible Power Supply Incorporating Photovoltaic Input"", naming Paul Regis Barlock and Matthew Kenneth Donnelly as inventors, incorporated herein by reference.",Patent search,Inverter (claims) Photovoltaic (claims),Utility,,,yes,,TRUE,,,TRUE,FALSE,TRUE,,TRUE,,2009,26/06/2009
187,2012,24-Jul-12,14-Apr-11,US 2011/0084556 A1 ,"Marco A.  Marroquin; Paul Thomas Parker, Stephen P. Wurmlinger, Robert S.  Balog, Trishan Esram, Jeremiah Foley","SolarBridge Technologies, Inc",Solar Inverter; Solar Mounting/Rack,8227942,307/147; 307/43; 307/82; 307/84,System and apparatus for interconnecting an array of power generating assemblies ,5-Jan-12,Start-up,Privately owned,Inverter manufacturer,"Austin, TX",TX,USA,A system and apparatus for interconnecting an array of power generating assemblies includes a cable assembly having a plurality of continuous conductors and a plurality of cable connectors electrically coupled to the continuous conductors. The continuous conductors are configured to receive inverter AC power generated by inverters and deliver the combined AC power to an AC grid or other power sink. The cable connectors are configured to mate with corresponding connectors of the inverters to deliver the AC power to the continuous conductors.,,Inverter is part of the system of array connectors,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=8227942.PN.&OS=PN/8227942&RS=PN/8227942,0,0,,"The present application a continuation application of U.S. application Ser. No. 12/576,661, entitled ""SYSTEM AND APPARATUS FOR INTERCONNECTING AN ARRAY OF POWER GENERATING ASSEMBLIES,"" which was filed on Oct. 9, 2009, the entirety of which is hereby incorporated by reference. ",Patent Search,Inverter (claims) Photovoltaic (claims),,,,Yes,TRUE,,http://solarbridgetech.com/,"Changed name in 2009 from SmartSpark Energy to ""solarbridge""",TRUE,TRUE,FALSE,,TRUE,,2012,05/01/2012
16,2012,23 Jul 08,24-Jun-05,US 2009-0160395 A1,Chen; Yin-Fan,"Hon Hai Precision Industry Co., Ltd.",Solar Monitoring,8228022,320/101,Solar energy control system ,3 Mar 04,Established ,Publicly Traded,Technology services,"Tu-Cheng, New Taipei, TW",,TW,"A solar energy control system includes a storage battery, a solar energy operated absorption board, a load, a controller, a first ZigBee module, a second ZigBee module, and a monitoring device. The absorption board is connected to the battery for charging the battery. The load is connected to the battery for receiving a working voltage from the battery. The controller is connected to the absorption board to detect a voltage of the absorption board, and control the charging status according to the detected voltage. The first ZigBee module is connected to the monitoring device. The second ZigBee module is connected to the controller. The monitoring device monitors a status of the controller and sends control instructions to the controller through the first and second ZigBee modules.", ,complete system with monitoring component,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=30&p=1&f=G&l=50&d=PTXT&S1=(((solar.CLTX.+or+solar.DCTX.)+AND+((monitor.CLTX.+or+monitor.DCTX.)+OR+(monitoring.CLTX.+or+monitoring.DCTX.)))+OR+((photovoltaic.CLTX.+or+photovoltaic.DCTX.)+AND+((monitor.CLTX.+or+monitor.DCTX.)+OR+(monitoring.CLTX.+or+monitoring.DCTX.))))&OS=+(ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))&RS=((ACLM/solar+AND+(ACLM/monitor+OR+ACLM/monitoring))+OR+(ACLM/photovoltaic+AND+(ACLM/monitor+OR+ACLM/monitoring))),0,1,no,,patent search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,,,,complete system with monitoring,,,TRUE,,,,,03/03/2004
163,2012,24-Jul-12,20-Jan-11,US 2011/0013432 A1,Robert Wagoner,General Electric Company,Solar Inverter,8228697,361/911,"Systems, methods, and apparatus for operating a power converter ",20-Jul-09,Established ,Publicly Traded,"Energy, technology infrastructure, capital finance, and consumer & industrial conglomerate","Schenectady, NY",NY,USA,"Embodiments of the invention can provide systems, methods, and apparatus for operating a power converter. According to one embodiment, a system for operating a power converter can be provided. The system can include a direct current (DC) power source with an output electrically coupled to an input of the power converter. The system can also include a controller operable to modify the performance of the DC power source through the power converter. As part of this modification, the controller can determine whether a low voltage ride (LVRT) event exists in a load and can adjust the DC power source when a LVRT event occurs.",Methods for operating power conversion,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=8228697.PN.&OS=PN/8228697&RS=PN/8228697,0,0,,,Patent Search,Inverter (claims) Photovoltaic (claims),all patents ,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2009,20/07/2009
164,2012,31-Jul-12,5-May-11,US 2011/0101784 A1,Miguel Bartolome Lopez,General Electric Company,Solar Inverter,8232681,307/86,Hybrid wind-solar inverters ,26-Jan-10,Established ,Publicly Traded,"Energy, technology infrastructure, capital finance, and consumer & industrial conglomerate","Schenectady, NY",NY,USA,"Certain embodiments of the invention may include systems and methods for providing a hybrid wind-solar inverter. According to an exemplary embodiment of the invention, a method for directing power from alternative power sources to an electrical grid is provided. The method can include: receiving at least two input DC power signals from a plurality of power sources; receiving one or more control signals from the electrical grid; directing, based at least in part on the one or more control signals, at least some of the input DC power signals to an output DC power signal; and, transforming the output DC power signal to an output AC power signal for transmission via the electrical grid.",Inverter method to convert DC power from renewable sources,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=1&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=1&OS=ACLM/inverter+AND+ACLM/ph,0,0,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,,,TRUE,FALSE,FALSE,,,,2010,26/01/2010
195,2012,7-Aug-12,31-Dec-09,US 2009/0320906 A1,"Jonathan Botkin, Simon Graves, Matt Danning, Matthew Culligan",SunPower Corporation,Solar Mounting/Rack,8234824,521/733; 136/251; 126/623,Photovoltaic module with removable wind deflector ,26-Jun-09,Established ,Publicly Traded,PV systems maker,"San Jose, CA",CA,USA,"A photovoltaic (PV) module assembly including a PV module, a deflector, and a clip. The PV module includes a PV device and a frame. A PV laminate is assembled to the frame, and the frame includes a support arm forming a seat. The deflector defines a front face and a rear face, with the clip extending from either the trailing frame member or the rear face of the deflector. In a mounted state, the deflector is nested within the seat and is releasably mounted to the trailing frame member via the clip. In some embodiments, the support arm forms a second seat, with the PV module assembly providing a second mounted state in which the deflector is in a differing orientation/slope, nested within the second seat and releasably mounted to the trailing frame member via the clip.","Mounting system for PV with ""wind Deflector""",,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=4&f=G&l=50&d=PTXT&s1=%28mounting.CLTX.+or+mounting.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=1&OS=ACLM/mounting+AND+ACLM/ph,0,1,,"This application also relates to U.S. application Ser. No. 12/492,640 entitled ""Ballasted Photovoltaic Module and Module Arrays""; U.S. application Ser. No. 12/492,680 entitled ""Photovoltaic Module Kit Including Connector Assembly for Non-Penetrating Array Installation""; U.S. application Ser. No. 12/492,802 entitled ""Photovoltaic Module and Module Arrays""; and U.S. application Ser. No. 12/492,838 entitled ""Photovoltaic Module with Drainage Frame""; all of which were filed on even date herewith and the teachings of each of which are incorporated herein by reference.",Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2009,26/06/2009
99,2012,7 Aug 12,26-Aug-10,US 2010/0212661 A1,"Sascha Oliver Schwarze, Maik Schaefer",SOLON SE,Solar Mounting/Rack,8234825,521/733; 126/705,SOLAR INSTALLATION INCLUDING AT LEAST ONE SOLAR MODULE HAVING A SPRING-LOADED MOUNTING OF THE COVER PLATE ,23 Feb 10,Established ,Privately owned,Solar power systems,Berlin,,Germany,"A solar installation includes at least one solar module. The at least one solar module includes a cover plate and a housing box. The housing box includes housing walls, a frame construction including a substantially L-shaped support profile, the support profile including a transverse leg disposed edge-parallel on a bottom side of the cover plate with a seal interposed therebetween and a longitudinal leg connected to the housing wall. A detent device has at least one upper detent element and one lower detent element for fixing the cover plate on the housing box. A spring-loaded mounting includes at least two spring elements for mounting the cover plate on the housing walls, via the at least two spring elements. The at least two spring elements have a predetermined vertical stroke and are configured to generate a restoring force.",L-shaped frame and spring-loaded mount for PV modules,,"http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=8,234,825.PN.&OS=PN/8,234,825&RS=PN/8,234,825",0,0,"[0001] This application claims benefit to German Patent Application No. DE 10 2009 010 225, filed on Feb. 23, 2009, and which is hereby incorporated by reference herein.",,Patent Search,"""Mounting""(claims) and ""photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2010,23/02/2010
