No. ,Year,Patent Issue Date,Patent Application Publication Date,Publication No.,Inventors,Assignee,Technology Areas,Patent #/ Application #,Classification Numbers,Patent Subject,Filing Date,Start up or established: less than 10 yrs old (start up),"Type of Firm ( publicly traded, privately owned, educational)",Firm's Services,Assignee-Firm HQ/ Inventor*,Assignee State,"Assignee's Country of Origin - (if no assignee, inventors' home in parentheses)",Abstract,Innovation of the search term/category,Innovation around the application of the search term/category,Link," Number of Citations Granted Patent (""referenced by others"")",Number of Citations on application,DOE-Funding,Cross-Reference: continuations; related applications,Found in Patent/Application Search,Initial Search term; only patents issued between 1/1/2005 and July 2012,Patent Type,Appeared in Google Search Google,PTO Search  Terms,Appeared in PTO Search,Category A - At the outset of the search is that items in this category were expected to emerge in the search results for the search terms,Category B- Search results for specifc terms actually relate to another part of the balance of systems. ,Firm Web site,NOTES,Solar Inverter,Solar Mounting/Rack,Solar Monitoring,Solar Site Assessment,SUBGROUP Inverter-Monitoring,Miscellaneous,Filing Year,Filing Date
37,2010,2008,1-May-08,US 2008/0099062 A1,"Joseph H. Armstrong, Matthew B. Foster, Jonathan S. Port, Douglas G. Jensen","Ascent Solar Technologies Inc.; Permacity Corp (Los Angeles, CA)",Solar Mounting/Rack,7812247,136/244 ; 136/293,"Flexible photovoltaic array with integrated wiring and control circuitry, and associated methods ",23-Oct-07,Established ,Publicly Traded,Thin-film Solar Maker,"Littleton, CO",CO,USA,"A flexible photovoltaic module for converting light into electricity includes a plurality of photovoltaic cells, a wiring harness, and a connection subsystem. The plurality of photovoltaic cells are electrically interconnected to form a positive node for supplying current to a load and a negative node for receiving current from the load. The wiring harness includes a plurality of flexible electrical conductors, each electrical conductor being electrically isolated within the wiring harness. The connection subsystem is operable to selectively connect the positive node to one of the electrical conductors of the wiring harness. A plurality of flexible photovoltaic modules may be connected to form a photovoltaic array.",Mounts are flexible to allow for easier installation and configuration of PV modules,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7812247.PN.&OS=PN/7812247&RS=PN/7812247,1,2,,"This application claims benefit of priority to U.S. Provisional Patent Application Ser. No. 60/853,609 filed 23 Oct. 2006 and U.S. Provisional Patent Application Ser. No. 60/853,610 filed 23 Oct. 2006. Each of the aforementioned applications are incorporated herein by reference.",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,TRUE,,,FALSE,TRUE,FALSE,,,,2007,23/10/2007
69,2010,11 Oct 06,07-May-04,US 2008/0106250 A1,"Oliver Prior, Ralf Juchem, Matthias Victor, Oliver Frank, Juergen Schlabbach",SMA Solar Technology AG,Solar Monitoring,7812592,324/76.39 ; 136/244; 136/290; 340/568.1,Method of monitoring a photovoltaic generator ,28 Oct 03,Established,Publicly Traded,Inverter manufacturer,"Niestetal, DE",N/A,Germany,"The subject matter of the present invention is a method for monitoring a photovoltaic generator (1) for generating current with a number of solar cells connected between two external connections by repeated feeding of a current with a frequency spectrum into the generator current circuit, detecting thereby a respective frequency response in the frequency spectrum with the supplied current as the input variable and an electric variable of the generator as the output variable, and detecting a change in the frequency response for monitoring the photovoltaic generator (1) in the event of a change during repeated feeding.",method for monitoring a photovoltaic generator,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7812592.PN.&OS=PN/7812592&RS=PN/7812592,1,5,,,Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,TRUE,,,,,,TRUE,,,,,28/10/2003
81,2010,12-Oct-10,19-Feb-09,US 2009/0046491 A1,"Peter Zacharias, Jens Friebe, Felix Blumenstein, Ann-Katrin Gerlach, Jan Scheuermann, Matthias Zin",SMA Solar Technology AG,Solar Inverter,7813153,363/134; 363/98; 363/131; 363/132; 363/133,Inverter,31-Jul-08,Established ,Publicly Traded,,Niestetal,,Germany,"An inverter (1) for feeding electric power into a utility grid (7) or into a load is described. The inverter (1) contains direct voltage inputs (2, 3), one first intermediate circuit (8) connected thereto and comprising two series connected capacitors (C1, C2) that are connected together at a ground terminal (14), two alternating voltage outputs (5, 6) of which one at least is provided with a grid choke (L1) and one bridge section (10). In accordance with the invention, the inverter (1) contains only two switches (S1, S2), which are disposed in the bridge section (10) and are to be switched at high frequency, as well as, between the first intermediate circuit (8) and the bridge section (10), a second intermediate circuit (9) that is devised at least for selectively boosting or bucking the direct voltage and intended for supplying said bridge section (10) with positive and negative voltage, said second intermediate circuit comprising an internal freewheeling (D5, D6) for maintaining.",inverter design,,http://www.google.com/patents?id=AGzXAAAAEBAJ&zoom=4&dq=solar%20inverter&pg=PA1#v=onepage&q=solar%20inverter&f=false,7,4,,,Patent Search,"""solar inverter""",Utility,yes,Inverter (Claims) AND Photovoltaic (Claims),Yes,TRUE,,http://www.sma.de/en/company/about-sma.html,,TRUE,FALSE,FALSE,,,,2008,31/07/2008
96,2010,19 Oct 10,Publication information unavailable,Publication information unavailable,Jonathan Port,,Solar Mounting/Rack  ,7814899,126/623; 52/22; 52/173.3; 126/571; 126/581; 248/237; 248/519,Solar panel mounting systems ,4 Jul 06,Individual,,,"(Los Angeles, CA)",CA,USA,"In a first embodiment a framed solar panel is retained by a rod inserted through a hole in the panel frame. The rod is attached to the top of a bracket, which is mounted at its bottom to a substantially flat surface. In a second embodiment, a framed solar collector panel is retained by a clip which is designed to fit over the top edge of the frame. The clip is then attached to the top of a second bracket. In a fourth embodiment a tether is fastened between the through hole and the flat surface. These embodiments may be used at either or both ends of the frame. Each embodiment may include a safety tether that is connected between the frame and the bracket.",,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=20&f=G&l=50&co1=AND&d=PTXT&s1=mounting.TI.&s2=solar.TI.&OS=TTL/mounting+AND+TTL/solar&RS=TTL/mounting+AND+TTL/solar,3,,,,Patent Search,"""Mounting"" (title) and ""Solar"" (Title)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2006,04/07/2006
65,2010,19-Oct-10,6-Dec-07,US 2007/0279863 A1,Edmund Illerhaus,Diehl AKO Stiftung & Co. KG,Solar Inverter,7817419,361/692; 165/104.33; 361/690; 361/695; 361/697; 454/184,Solar inverter assembly,25-May-07,Established ,Privately owned,"Electronic controls, energy management ",Wagen,,Germany,"A solar inverter assembly has a first housing part, which is used as a heat sink, and a second housing part for holding electronic components of the solar inverter. The first housing part has a first air inlet opening, a first air outlet opening and a first air channel connecting the air inlet and air outlet openings. Air flows on the basis of natural convection through the first air channel. The second housing part has a second air inlet opening, a second air outlet opening, and a second air channel which connects the second air inlet opening to the second air outlet opening. Air flows on the basis of natural convection through the second air channel. At least one electronic component, which is insensitive to dust, of the solar converter, for example a transformer or an inductor, is mounted in the second housing part in direct thermal contact with the first housing part and within the second air channel. Those electronic components of the solar inverter that are sensitive to dust",Inverter design,,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7817419,3,4,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,,,TRUE,,,TRUE,FALSE,FALSE,,,,2007,25/05/2007
83,2010,26-Oct-10,3-Dec-09,US 2009/0293864 A1,"Joseph E Augenbraun, John K Cammack, Darrell S Park","Solar Red Systems, Inc.",Solar Mounting/Rack; Solar Inverter ,7819114,126/623; 126/704; 136/251,Plug and play solar panel assembly,3-Jun-09,Start-up,Privately owned,Inverter manufacturer,"Sunnyvale, CA",CA,USA,"A plug and play solar panel assembly is disclosed. According to one embodiment, an apparatus comprises a substantially rectangular sheet having a first area configured to fit between a first layer and a second layer of a weatherproof surface. The sheet has a second area configured to protrude from the first layer and the second layer of the weatherproof surface. The second area includes a mounting area to attach one or more solar panels.",,Inverter is part of a broader PV system; intended to ease installation' plug-n-play solar system,http://www.google.com/patents?id=61PYAAAAEBAJ&zoom=4&dq=solar%20inverter&pg=PA1#v=onepage&q=solar%20inverter&f=false,1,1,,"The present application claims the benefit of and priority to U.S. Provisional Patent Application No. 61/058,472 entitled ""Solar Collector Mounting System"" and filed on Jun. 3, 2008, and is hereby incorporated by reference in its entirety. The present application also claims the benefit of and priority to U.S. Provisional Patent Application No. 61/195,257 entitled ""Solar Energy Collector Mounting System"" and filed on Oct. 3, 2008, and is hereby incorporated by reference in its entirety.",Patent Search,"""solar inverter""",Utility,Yes,Inverter (Claims) AND Photovoltaic (Claims),Yes,,TRUE,http://www.solar-red.net/,,TRUE,TRUE,FALSE,,,,2009,03/06/2009
73,2010,23 Aug 06,06-Aug-04,US 2008/0185915 A1,Chia-Hung Wang,"Hon Hai Precision Industry Co., Ltd. (Foxxconn)",Solar Monitoring,7819913,307/64 ; 320/101,UPS having solar powered battery charger ,5 Aug 03,Established ,Publicly Traded,Technology services,Taipei Hsien,N/A,Taiwan," A UPS includes a first transfer switch, a first battery charger, a second transfer switch, a solar energy absorption board, and a second battery charger. The first transfer switch connects a power source to an electrical device. The first battery charger connects the power source to a storage battery for charging the storage battery. An output of the storage battery is connected to the first transfer switch via an inverter. The first transfer switch controls the storage battery to supply power to the electrical device. The second transfer switch is connected between the first battery charger and the storage battery. The second battery charger connects the solar energy absorption board to the second transfer switch. The second transfer switch controls the power source to charge the storage battery via the first battery charger or the solar energy absorption board to charge the storage battery via the second battery charger. ",network monitor device structured and arranged for monitoring status of the environment where the solar energy absorption board locates,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7781913.PN.&OS=PN/7781913&RS=PN/7781913,0,6,,,Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,TRUE,,,,,,TRUE,,,,,05/08/2003
79,2010,26-Oct-10,5-Mar-09,US 2009/0056786 A1,"Eric C. Johnson, Michael Leeds, Nathan Woodard","SKYLINE SOLAR, INC.",Solar Mounting/Rack  ,7820906,136/246; 136/243,Photovoltaic receiver,20-May-08,Start-up,Privately owned,Electric utility,"Mountain View, CA",CA,USA,"A solar receiver can have a base plate having a first surface and a second surface, a plurality of solar cells positioned over and supported by the first surface of the base plate, each solar cell having a cell face suitable for receiving solar radiation that faces away from the base plate, the plurality of solar cells being arranged in at least one string having a string axis, and a plurality of fins attached directly to the second surface of the base plate, wherein the fins extend outwardly from the second surface of the base plate in a direction that is generally perpendicular to both the string axis and the solar cell faces.",,,"http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7,820,906.PN.&OS=PN/7,820,906&RS=PN/7,820,906",3,2,,"This application claims priority to U.S. Provisional Application No. 61/043,704 filed on Apr. 9, 2008, entitled ""Dual Trough Concentrating Solar Photovoltaic Module"" and to U.S. Provisional Application No. 60/970,007 filed on Sep. 5, 2007, entitled ""Dual Trough Concentrating Photovoltaic Module"", both of which are incorporated by reference herein for all purposes.",Patent Search,"""Mount"" (claims) and ""Photovoltaic"" (claims); ",,,,Yes,,TRUE,,,FALSE,TRUE,FALSE,,,,2008,20/05/2008
68,2010,2 Nov 10,29-Nov-07,US 2007/0272234 A1,"Nathan Allen, Gregg F. Luconi","Energy Innovations, Inc.",Solar Mounting/Rack  ,7823583,126/696 ; 126/684; 248/166,Solar collector mounting array,22 Dec 06,Start-up,Privately owned,PV systems maker,"Pasadena, CA",CA,USA,"A solar collector structural support system that affixes to a mounting surface without penetrating the mounting surface is disclosed. The invention in the preferred embodiment includes a base assembly comprising: a plurality of leg members, a center junction elements configured to receive (a) the proximal end of each of the plurality of leg members and (b) a support member configured to securely uphold at least one of the one or more one solar collectors, and at least one footing adapted to frictionally engage the mounting surface. Multiple base assemblies may be interconnected using peripheral junction elements to form arrays of solar collectors of arbitrarily large size. The peripheral junction element is configured to couple the leg members of multiple base assemblies. When connected with the present invention, a plurality of solar concentrators form an array with greater structural integrity and less susceptibility.",PV mounting system where the PV cells can stand up ,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&p=1&u=%2Fnetahtml%2FPTO%2Fsearch-bool.html&r=19&f=G&l=50&co1=AND&d=PTXT&s1=mounting.TI.&s2=solar.TI.&OS=TTL/mounting+AND+TTL/solar&RS=TTL/mounting+AND+TTL/solar,1,1,,"This application claims the benefit of U.S. Provisional Patent Application Ser. No. 60/576,770 filed Jun. 2, 2004, entitled ""ROOFTOP CONCENTRATOR,"" which is hereby incorporated herein for all purposes and this application is a continuation-in-part of Non-provisional patent application Ser. No. 11/144,995 filed Jun. 2, 2005 now U.S. Pat. No. 7,156,088 entitled ""SOLAR CONCENTRATOR MOUNTING ARRAY"" which is a continuation-in-part of Non-provisional patent application Ser. No. 11/042,031 filed Jan. 24, 2005 entitled ""SELF-BALASTING SOLAR COLLECTOR"" which claims the benefit of U.S. Provisional Patent Application Ser. No. 60/612,592 filed Sep. 22, 2004, entitled ""APPARATUS FOR REDIRECTING PARALLEL RAYS USING SIMPLE RIGID TRANSLATION,"" of U.S. Non-provisional patent application Ser. No. 11/058,023 filed Feb. 14, 2005, entitled ""APPARATUS FOR REDIRECTING PARALLEL RAYS USING RIGID TRANSLATION,"" and of U.S. Provisional Patent Application Ser. No. 60/557,738 filed Mar. 30, 2004, entitled NON-PENETRATING ROOF-MOUNTED TRACKING SOLAR COLLECTOR,"" all of which are hereby incorporated by reference herein for all purposes.",Patent Search,"""Mounting"" (title) and ""Solar"" (Title)",Utility,,,Yes,TRUE,,http://www.idealab.com/our_companies/show/all/energy_innovations,Company was sold off at a loss,FALSE,TRUE,FALSE,,,,2006,22/12/2006
88,2010,2-Nov-10,21-Oct-10,US 2010/0263714 A1,"Mark Edwin Lauermann, Daniel Eugene Stahl",Tyco Electronics Corporation,Solar Mounting/Rack;  ,7824189,439/76.1; 136/246; 174/50.52; 439/535; 439/620.15,Junction box for photovoltaic modules,15-Apr-09,Established ,Publicly Traded,Solar power management and optimization,"Berwyn, PA",PA,USA,"A junction box is provided for electrically connecting a photovoltaic (PV) module to a power distribution system having a mating connector. The junction box includes a housing having a mounting side configured to be mounted on the PV module. The housing includes a mating interface and an opening extending into the housing through the mounting side. The housing is configured to mate with the mating connector of the power distribution system at the mating interface. An electrical contact is held by the housing. The electrical contact includes an integrally formed, one-piece body. The body of the electrical contact includes a base, a mating end extending from the base, and a PV module end extending from the base. The base of the body of the electrical contact is held within the opening of the housing such that the mating end extends along the mating interface for engagement with the mating connector. The PV module end of the body extends outwardly from the opening on the mounting side...",,junction box of PV mounted on module,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7824189.PN.&OS=PN/7824189&RS=PN/7824189,1,1,,,Patent Search,"""Mounting"" (claims) and ""Photovoltaic"" (claims)",Utility,,,Yes,TRUE,,,,FALSE,TRUE,FALSE,,,,2009,15/04/2009
73,2010,2-Nov-10,17-Feb-11,US 2011/0036386 A1,John H. Browder,International Development LLC,Solar Inverter,7824191,10/30/2009,Connector with conductor piercing prongs for a solar panel,30-Oct-09,Established ,Publicly Traded,Solar installation and monitoring,"Roanoke, TX",TX,USA,"The present invention comprises an electrical connector device for electrically connecting an alternating current (“AC”) photovoltaic (“PV”) solar panel device having an integral micro-inverter to the utility grid. The electrical connector device is a compression connector fitting that includes an upper and lower housing, which each include a channel for receiving the main electrical conductor line. The electrical connector device further includes three electrical prong, which are designed to pierce and penetrate the insulation of the main electrical conductor line to establish an electrical connection between the micro-inverter and the utility grid, when the electrical connector device is compressed about the main electrical conductor line. The shape of the channel formed in the electrical connector device has a distinctive cross sectional shape that substantially corresponds to the shape of the main electrical conductor line to insure proper alignment and orientation of the main conductor line within the connector device.",A micro-inverter device directly connected to PV panels to manage currents.,,http://www.google.com/patents?id=uoDYAAAAEBAJ&zoom=4&dq=solar%20inverter&pg=PA1#v=onepage&q=solar%20inverter&f=false,2,,,"Continuation in part of application No 12 542,600 filed on Aug 17 2009 ",Patent Search,"""solar inverter""",Utility,yes,,,TRUE,,,,TRUE,FALSE,FALSE,,,,2009,30/10/2009
60,2010,16-Nov-10,10-May-07,US 2007/0102036 A1,"Barry Cinnamon, Emanual Edward Levy","Andalay Solar, Inc.",Solar Mounting/Rack,7832157,52/173.3; 52/582.1; 52/586.2; 136/244; 136/251,MOUNTING SYSTEM FOR A SOLAR PANEL,28-Dec-06,Established ,Publicly Traded,Integrated Solar PV maker ,"Los Gatos, CA",CA,USA,"An integrated module frame and racking system for a solar panel is disclosed. The solar panel comprises a plurality of solar modules and a plurality of splices for coupling the plurality of solar modules together. The plurality of splices provide a way to make the connected modules mechanically rigid both during transport to the roof and after mounting for the lifetime of the system, provide wiring connections between modules, provide an electrical grounding path for the modules, provide a way to add modules to the panel, and provide a way to remove or change a defective module. Connector sockets are provided on the sides of the modules to simplify the electrical assembly of modules when the modules are connected together with splices.",Mounting system for PV modules that is integrated,,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7832157,1,0,,"Under 35 U.S.C. .sctn.120, this application is a continuation application claiming the benefit of priority to U.S. patent application Ser. No. 10/849,069, entitled ""Mounting System For A Solar Panel"", filed May 18, 2004, all of which is incorporated herein by reference.",Patent Search,"""Mounting"" (title) and ""Solar"" (Title)",Utility,,,Yes,TRUE,,,"Subsidiary of Akeena Solar, later acquired by Westinghouse Solar",FALSE,TRUE,FALSE,,,,2006,28/12/2006
9,2010,15 Nov 06,13 May 05,US 2009/0125275 A1 ,Aaron William Woro,"Ecometriks, LLC ",Site Assessment,7832267,73/170.27 ; 126/621; 126/623,Method for determining temporal solar irradiance values ,5 Jun 04,Start-up,Privately owned,Unknown,"Boulder, CO",CO,USA," A method for generating temporal solar irradiance values for a selected area. Binary format hillshade files are generated for selected azimuth and altitude points on the Sun's path for selected time points for the area. Data in the hillshade files is reclassified into reclassified files, on basis of the selected time points relative to the solar radiation data. The reclassified files are then summed to generate a set of normalized reclassified files, each representing a selected intermediate interval. The values for each corresponding one of the cells in the set of normalized reclassified files are summed to generate an irradiance-weighted shade file. The hillshade files are summed by inclusively OR-ing corresponding values for each of the cells in each of the hillshade files to generate respective composite files for each said selected intermediate interval. The composite files are then summed to generate a summed shade/time frequency file in which each data point therein represents the frequency of repetition of corresponding cells in the hillshade files over a selected upper interval of time. Each data point value in the irradiance-weighted shade file is then divided by the corresponding data point value in the frequency file to generate a file having solar access values for the upper interval, relative to the intermediate interval, for the selected area. ",Method for evaluating solar site potential,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7832267.PN.&OS=PN/7832267&RS=PN/7832267,17,0,,"Continuation in part of 7,500,391",Patent Search,"""Solar"" (claims) or ""Photovoltaic"" (Claims) AND ""Mapping"" (claims) or ""Estimation"" (claims) or ""Obstruction"" or ""Potential"" (claims) or ""Site"" or ""Terrain"" (claims) or ""Access"" (claims) or ""Azimuth"" (claims) or ""Survey"" (claims)",Utility,,,Yes,,,,,,,,TRUE,,,,05/06/2004
68,2010,15 Nov 06,28-Jan-05,US 2009/0152867 A1,Jeffrey L. Cripps,"Criptonic Energy Solutions, Inc. ",Solar Monitoring,7834471,290/1E ; 290/1A; 290/1R,Spring powered electric energy storage system ,13 Dec 03,Start-up,Privately Owned,Independent power provider of renewable energy.,"Waterford, MI",MI,USA,"A self-sustaining electrical power generating system includes a spring system that stores stored energy, the spring system having an input for recharging the stored energy and an output for releasing the stored energy, wherein the spring system generates a monitor signal based on a status parameter of the spring system and wherein the spring system releases the stored energy in accordance with an output control signal. A generator converts the stored energy of the spring system into electric power. A spring recharge module recharges the stored energy of the spring system in response to a recharge control signal. A control module generates the recharge control signal and the output control signal, based on the monitor signal.",monitor signal based on a status parameter of the spring system and wherein the spring system releases the stored energy in accordance with an output control signal.,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7834471.PN.&OS=PN/7834471&RS=PN/7834471,4,1,,"12/901,593 claims the benefit",Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,TRUE,,,,,,TRUE,,,,,13/12/2003
67,2010,15 Nov 06,28-Jan-05,US 2009/0027001 A1 ,Lance P. Haines,American Power Conversion Corporation,Solar Monitoring,7834580,320/101 ; 136/247; 136/291; 320/136; 320/138; 323/906,Solar powered apparatus ,26 Jul 03,Established ,Privately Owned,"Provides global, end-to-end AC and DC-based back-up power products and services","West Kingston, RI",RI,USA,"A solar powered apparatus that includes a battery, at least one photovoltaic cell (which may be part of a solar module comprising multiple photovoltaic cells), and a DC-capable AC appliance, such as a compact fluorescent light. The solar powered apparatus may also include a first DC to DC converter that receives a first electrical signal from the at least one photovoltaic cell and provides a charging signal to the battery, and a second DC to DC converter that receives a second electrical signal from the battery and provides a DC power signal to the DC-capable AC appliance. ",monitoring the DC signal supplied to the DC-capable AC appliance,,patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=7834580.PN.&OS=PN/7834580&RS=PN/7834580,7,1,,"12/947,403 claims the benefit",Patent Search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Utility,,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),Yes,TRUE,,,,,,TRUE,,,,,26/07/2003
59,2010,30-Nov-10,16-Sep-10,US 2010/0229915 A1,"Anatoli Ledenev, Robert M. Porter","AMPT, LLC",Solar Inverter,7843085,307/80,Systems for highly efficient solar power,14-Mar-08,Start-up,Privately owned,Solar Power tracking and communications; ,"Fort Collins, CO",CO,USA,"Different systems to achieve solar power conversion are provided in at least three different general aspects, with circuitry that can be used to harvest maximum power from a solar source (1) or strings of panels (11) for DC or AC use, perhaps for transfer to a power grid (10) three aspects can exist perhaps independently and relate to: 1) electrical power conversion in a multimodal manner, 2) alternating between differing processes such as by an alternative mode photovoltaic power converter functionality control (27), and 3) systems that can achieve efficiencies in conversion that are extraordinarily high compared to traditional through substantially power isomorphic photovoltaic DC-DC power conversion capability that can achieve 99.2% efficiency or even only wire transmission losses. Switch mode impedance conversion circuits may have pairs of photovoltaic power series switch elements (24) and pairs of photovoltaic power shunt switch elements (25).",,Inverter is part of a larger PV system,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7843085,12,0,,"Related US Application Data Provisional application No 60 980,157 filed on Oct 15 2007 provisional application No 60 982,053 filed on Oct 23 2007 provisional application No 60 986,979 filed on Nov 9 2007 ",Patent Search,Inverter (claims) Photovoltaic (claims),Utility,yes,Inverter (Claims) AND Photovoltaic (Claims),Yes,TRUE,,http://www.ampt.com/,,TRUE,FALSE,FALSE,,,,2008,14/03/2008
82,2010,30-Nov-10,23-Apr-09,US 2009/0103340 A1,"Sven Bremicker, Frank Greizer, Matthias Victor",SMA Solar Technology AG,Solar Inverter,7843714,363/132,"Inverter, more specifically for photovoltaic plants ",31-Jul-08,Established ,Publicly Traded,Inverter manufacturer,Niestetal,,Germany,"On an inverter (1) for converting an electric direct voltage, in particular of a photovoltaic direct voltage source into an alternating voltage with a direct voltage input with two terminals (DC+, DC-) and one alternating voltage output with two terminals (AC1, AC2) and with one bridge circuit including semiconductor switching elements (S1-S6), said bridge circuit comprising one first bridge branch (Z1) including four switching elements (S1-S4) and one second bridge branch (Z2) including two additional switching elements (S5, S6) as well as a freewheeling circuit provided with additional diodes (D7, D8), the efficiency is further increased without high frequency interferences and capacitive leakage currents having the possibility to occur on the generator side. This is achieved in that a respective one of the freewheeling diodes (D7, D8) forms a freewheeling branch together with a respective one of the switching elements (S2, S3) located in the first bridge branch (Z1), said freewheeling branch carrying a freewheeling current in a condition decoupled from the direct voltage.",Inverter with two terminals and bridge for high voltage conversion from DC to AC,,http://patft.uspto.gov/netacgi/nph-Parser?Sect1=PTO2&Sect2=HITOFF&u=%2Fnetahtml%2FPTO%2Fsearch-adv.htm&r=71&f=G&l=50&d=PTXT&s1=%28inverter.CLTX.+or+inverter.DCTX.%29&s2=%28photovoltaic.CLTX.+or+photovoltaic.DCTX.%29&co1=AND&p=2&OS=ACLM/inverter+AND+ACLM/p,6,1,,,Patent Search,Inverter (claims) Photovoltaic (claims),Utility,,,Yes,TRUE,,http://www.sma.de/en/company/about-sma.html,,TRUE,FALSE,FALSE,,,,2008,31/07/2008
66,2010,29 Nov 06,18 Mar 05,US 2009-0076790 A1," Fein; Gene S. (Lenox, MA), Merritt; Edward (Lenox, MA)","GEFEMER RESEARCH ACQUISITIONS, LLC ",Solar Monitoring,7844568,706/62 ; 706/21,System and method for data processing and transferring in a multi computer environment for energy reporting and forecasting,18 Sep 03,Unknown,Unknown,Unknown,Wilmington,DE,USA,"At least one embodiment relates to data processing and transferring in a multi computer environment for reporting, monitoring, and predicting the supply, demand, and generation of alternative energy on a global scale. The system is configured to collect past and present alternative energy generation and distribution data from a variety of distributed sources. Example of such distributed data producing sources may include any of various power installations and systems, power sources, and billing systems. The data collected from these sources is stored and contemplated in a central database unit. Based on the data contemplated in the central database unit, the system, further, makes predictions of present and future generations, supply, and demand of alternative energy at local, regional, national, and global scales. Using these predictions, the system recommends changes in the existing energy generation resources, and/or proposes deployment of new energy generation resources.",data collection and aggragation,,http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/7844568,0,0,no,,patent search,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),utility,yes,(ACLM/solar AND (ACLM/monitor OR ACLM/monitoring)) OR (ACLM/photovoltaic AND (ACLM/monitor OR ACLM/monitoring)),yes,TRUE,,,,,,TRUE,,,,,18/09/2003
